Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.5022740648073308,0.35142766065131087,0.9056371789985403,0.12589227774172618,0.9056371789985403,0
1,0.42251486509454017,0.3282054610040755,0.913594491097678,0.12380552480563933,0.913594491097678,0
2,0.40863131062657226,0.3197610232439074,0.9154644408949638,0.12169332366301489,0.9154644408949638,0
3,0.3973872790149614,0.3155160529466182,0.9175686880453244,0.1181687470575511,0.9175686880453244,0
4,0.3851906962254468,0.31200571721177,0.9179523748462518,0.11777429985621768,0.9179523748462518,0
5,0.3807364407707663,0.3098137126628807,0.917030659117151,0.11598020129531372,0.9179523748462518,1
6,0.3720334346387901,0.3097492193982175,0.9174206604073952,0.11552213357763608,0.9179523748462518,2
7,0.3686228468137629,0.3094849072954942,0.9176644900368028,0.11356262167423747,0.9179523748462518,3
8,0.3603323541435541,0.31290298597644467,0.9146113086498177,0.11353717346769987,0.9179523748462518,4
9,0.35196188080544566,0.3056575874066138,0.9168057395394572,0.11255741751600057,0.9179523748462518,5
10,0.3520312886612088,0.3071576205327961,0.9143824034979304,0.11239200417350592,0.9179523748462518,6
11,0.3429488941150553,0.3049090070549872,0.915987682548753,0.11313000216309754,0.9179523748462518,7
12,0.33675148627337287,0.3054489749305539,0.9163692134127226,0.1126592103421511,0.9179523748462518,8
13,0.3333457243793151,0.30990882671107495,0.9143704503135401,0.11357534577750628,0.9179523748462518,9
14,0.32694990132369245,0.3053269532314996,0.9147235467121065,0.11277372727157053,0.9179523748462518,10
