Ep,Train loss,Dev Loss,Dev F1, Dev Rec,Dev error,Best error,Counter
0,0.5815952122795816,0.45786646008491516,0.7778893847426901,0.762789270687237,0.19028340080971662,0.19028340080971662,0
1,0.5026898060359207,0.4312984256013747,0.8097134238310708,0.7965462833099579,0.16801619433198378,0.16801619433198378,0
2,0.4887844374951194,0.42260183682364805,0.7939471777258025,0.7793916549789621,0.17914979757085026,0.16801619433198378,1
3,0.4771442471181645,0.41532096723395007,0.8032044449880313,0.7897528050490883,0.17307692307692313,0.16801619433198378,2
4,0.4663503571468241,0.40961611126699754,0.8121148973723916,0.8023667601683029,0.16902834008097167,0.16801619433198378,3
5,0.46352898051925734,0.41102786650580747,0.8105968218773096,0.79820301542777,0.16801619433198378,0.16801619433198378,4
6,0.45589565699006995,0.4080265813296841,0.8086074968520969,0.7965901122019635,0.17004048582995956,0.16801619433198378,5
7,0.4482034663359324,0.40796695361214297,0.8127324044621655,0.8012184431977559,0.167004048582996,0.167004048582996,0
8,0.45016341349657846,0.40720937064578455,0.8150927548933683,0.8047861150070126,0.1659919028340081,0.1659919028340081,0
9,0.444085803511096,0.40303818352760806,0.825352291423987,0.8162079242636746,0.1578947368421053,0.1578947368421053,0
10,0.433830658010408,0.40467818057344807,0.8190774414473805,0.8080119214586254,0.16194331983805665,0.1578947368421053,1
11,0.4300057302503025,0.4008939792552302,0.8196293209509069,0.8105189340813465,0.16295546558704455,0.1578947368421053,2
12,0.42643275480060017,0.4071408279480473,0.8220769314590824,0.8104312762973351,0.1589068825910931,0.1578947368421053,3
13,0.42326574909920783,0.4020716576806961,0.817609976890153,0.8075035063113605,0.16396761133603244,0.1578947368421053,4
14,0.42001336205239387,0.4070449502718064,0.8121679496441423,0.8001139551192147,0.167004048582996,0.1578947368421053,5
15,0.41459247274141686,0.40354713100579476,0.8206245461147421,0.8113253856942497,0.16194331983805665,0.1578947368421053,6
16,0.41251185659100026,0.40085400785169295,0.8258630943243468,0.8159098877980364,0.15688259109311742,0.15688259109311742,0
17,0.41265529960978264,0.40405540456694944,0.8150023147111092,0.803383590462833,0.16497975708502022,0.15688259109311742,1
18,0.40328807673033545,0.40001011735969977,0.8231125109616738,0.812640252454418,0.1589068825910931,0.15688259109311742,2
19,0.40422346527669945,0.40770438073142884,0.815277323744143,0.8039358345021037,0.16497975708502022,0.15688259109311742,3
20,0.40083204472766204,0.40908257759386496,0.8175438596491228,0.8061009817671809,0.16295546558704455,0.15688259109311742,4
21,0.398166464444469,0.3991204166123944,0.8233172387498187,0.8159975455820476,0.16093117408906887,0.15688259109311742,5
22,0.39560776011032217,0.39916714016468297,0.8225994787181361,0.8115357643758765,0.1589068825910931,0.15688259109311742,6
23,0.390310213729447,0.40848701110770624,0.8172722249600526,0.8055487377279102,0.16295546558704455,0.15688259109311742,7
24,0.3876621328732547,0.40168221895733186,0.8213389734292883,0.8101770687237027,0.15991902834008098,0.15688259109311742,8
25,0.38658771082466725,0.4028144565320784,0.8168753830636679,0.807249298737728,0.16497975708502022,0.15688259109311742,9
26,0.38409898771959194,0.40121289438778357,0.8178698224852071,0.8080557503506312,0.16396761133603244,0.15688259109311742,10
